Marke,Modell,url,country,date,Zustand,Garantie,Angebotsnummer,Außenfarbe,Lackierung,Farbe laut Hersteller,Innenausstattung,Karosserieform,Anzahl Türen,Sitzplätze,Schlüsselnummer,Getriebeart,Gänge,Hubraum,Kraftstoff,Schadstoffklasse,haendler,privat,ort,price,ausstattung_liste,Erstzulassung,Zylinder,Leergewicht
0,0,/angebote/others-others-deutz-fl-514-diesel-traktor-vollrestauriert-diesel-gruen-af087ce9-653c-4761-9ec1-5429684a80e6?,Deutschland,2020-10-23 07:28:01.547928,Oldtimer,0,2119,Grün,0,White Silver,"Sonstige, Rot",Sonstige,0.0,5.0,0603/CED,Schaltgetriebe,5.0,1.498 cm³,Diesel,Euro 6,1,0,42699 Solingen,27490.0,[],2019.0,0.0,700 kg
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
Abarth,124 Spider,/angebote/abarth-124-spider-turismo-benzin-blau-84efc87c-a48f-4442-9a9d-06558413cc69?,Oesterreich,2020-10-23 04:22:06.856024,Neu,0,3657112,Blau,0,blau,"Stoff, Schwarz",Cabrio,2.0,4.0,0,Schaltgetriebe,6.0,1.368 cm³,Benzin,Euro 6,True,False,3363 Ulmerfeld-Hausmening,35990.0,"['', 'ABS', 'Alufelgen', 'Beifahrerairbag', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Nebelscheinwerfer', 'Notbremsassistent', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sportfahrwerk', 'Tagfahrlicht', 'Tempomat', 'Traktionskontrolle', 'Wegfahrsperre', 'Zentralverriegelung']",2019.0,0.0,0
Abarth,500,/angebote/abarth-500-1-4-t-jet-16v-leder-xenon-benzin-grau-f1b3c5d7-8ba3-46ed-9aeb-eddc50acfaf5?,Deutschland,2020-10-21 12:12:53.932922,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,0,0,Grau,0,GRAU,"Vollleder, Sonstige",Kleinwagen,2.0,4.0,0,Schaltgetriebe,5.0,1.368 cm³,Benzin,Euro 5,1,0,95460 Bad Berneck,7990.0,"['', 'ABS', 'Alufelgen', 'Beifahrerairbag', 'Bluetooth', 'Bordcomputer', 'CD', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Komfort', 'Lederlenkrad', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Notbremsassistent', 'Radio', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sportsitze', 'Tagfahrlicht', 'Traktionskontrolle', 'Unterhaltung/Media', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung']",2010.0,4.0,0
Abarth,595,/angebote/abarth-595-navigation-sitzheizung-bi-xenon-benzin-69d5ac0f-cc52-48c9-a132-f214f8728dde?,Deutschland,2020-10-20 16:15:49.768005,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,0,988,Nicht angegeben,0,COLORE ESTERNO (BLU METALIZZAT,Vollleder,Limousine,3.0,4.0,1727/AJV,Schaltgetriebe,5.0,1.368 cm³,Benzin,Euro 6,1,0,76744 Wörth am Rhein,13499.0,"['', 'ABS', 'Alarmanlage', 'Alufelgen', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Sensoren hinten', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kurvenlicht', 'Lederlenkrad', 'Lichtsensor', 'MP3', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Nebelscheinwerfer', 'Notbremsassistent', 'Radio', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sportfahrwerk', 'Sportpaket', 'Sportsitze', 'Sprachsteuerung', 'Tagfahrlicht', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung']",2017.0,4.0,1.110 kg
Abarth,595 Competizione,/angebote/abarth-595-competizione-bi-xenon-navi-beats-sabelt-benzin-schwarz-eeb29695-9083-47ad-a9eb-3558409eecf2?,Deutschland,2020-10-23 05:13:16.553310,Neu,24 Monate,0JD33658,Schwarz,Metallic,Scorpione Schwarz Metallic,"Teilleder, Schwarz",Kleinwagen,3.0,4.0,0,Schaltgetriebe,5.0,1.368 cm³,Super 95 / Normal/Benzin 91,Euro 6d-TEMP,True,False,94315 Straubing,24989.0,"['', 'ABS', 'Alufelgen', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Sensoren hinten', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'MP3', 'Multifunktionslenkrad', 'Navigationssystem', 'Nebelscheinwerfer', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Soundsystem', 'Sportfahrwerk', 'Sportpaket', 'Sportsitze', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung']",2020.0,0.0,0
Abarth,595 Pista,/angebote/abarth-595-pista-abarth-165-benzin-grau-f61685ef-0aa9-4dda-9d4c-1593bf18ded8?,Oesterreich,2020-10-20 16:23:20.268955,Neu,0,2022053883,Grau,Metallic,Pista Grau,"Stoff, Grau",Limousine,3.0,4.0,0,Schaltgetriebe,5.0,1.368 cm³,Benzin,0,1,0,3580 Horn,27490.0,"['', 'ABS', 'Alufelgen', 'Beifahrerairbag', 'Bordcomputer', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Nebelscheinwerfer', 'Notbremsassistent', 'Reifendruckkontrollsystem', 'Servolenkung', 'Sicherheit', 'Sportfahrwerk', 'Tagfahrlicht', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung']",0.0,0.0,1.035 kg
Abarth,595 Turismo,/angebote/abarth-595-turismo-500-cabrio-595-c-turismo-1-hand-top-ausstattung-benzin-2bf543ed-d2a8-4854-88d3-ae02df615ccc?,Deutschland,2020-10-20 15:11:53.102483,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,0,0,Nicht angegeben,Metallic,0,"Vollleder, Schwarz",Cabrio,2.0,4.0,0,Automatik,0.0,1.368 cm³,Benzin,Euro 6,1,0,23560 Lübeck,14999.0,"['', 'ABS', 'Alufelgen', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'ESP', 'Einparkhilfe', 'Einparkhilfe Sensoren hinten', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Multifunktionslenkrad', 'Navigationssystem', 'Nebelscheinwerfer', 'Notbremsassistent', 'Radio', 'Schaltwippen', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Soundsystem', 'Sportfahrwerk', 'Sportpaket', 'Sportsitze', 'Tagfahrlicht', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung']",2016.0,0.0,0
Abarth,595C,/angebote/abarth-595c-turismo-xenon-navi-pdc-zahnriemen-neu-benzin-schwarz-1e90b057-4c83-48f3-a92b-9d658b371ba1?,Deutschland,2020-10-20 16:15:24.817825,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,0,D11188,Weiß,0,Bicolore Scorpione Schwarz/Gar,"Teilleder, Schwarz",Cabrio,2.0,4.0,4136/AMP,Schaltgetriebe,5.0,1.368 cm³,Super 95,Euro 6d-TEMP,True,False,45701 Herten,13480.0,"['', 'ABS', 'Abstandstempomat', 'Alarmanlage', 'Alufelgen', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'CD', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'MP3', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Radio', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Soundsystem', 'Sportfahrwerk', 'Sportsitze', 'Sprachsteuerung', 'Traktionskontrolle', 'Unterhaltung/Media', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung']",2015.0,4.0,0
Abarth,695,/angebote/abarth-695-c-aut-abarth-rivale-dab-klima-navi-benzin-blau-9d25ffcf-ac89-4805-96f3-4302b3fe23d7?,Deutschland,2020-10-21 14:05:21.343008,Gebraucht,12 Monate,935846,Blau,Metallic,COLORE ESTERNO (BLU RIVA 682B,"Vollleder, Blau",Cabrio,3.0,4.0,1727/AAM,Automatik,5.0,1.242 cm³,Super 95,Euro 6,1,0,35394 Gießen,23990.0,"['', 'ABS', 'Beifahrerairbag', 'Bordcomputer', 'DAB-Radio', 'ESP', 'Einparkhilfe Sensoren hinten', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Navigationssystem', 'Radio', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sportfahrwerk', 'Tagfahrlicht', 'Traktionskontrolle', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung', 'teilb. Rücksitzbank']",2018.0,4.0,975 kg
